GWS1,GWS2,GWS3,GWS4,GWS5,GWS6,GWS7,GWS8,GWS9,UWES1,UWES2,UWES3,UWES4,UWES5,UWES6,UWES7,UWES8,UWES9,MBI1,MBI2,MBI3,MBI4,MBI5,MBI6,MBI7,MBI8,MBI9,MBI10,MBI11,MBI12,MBI13,MBI14,MBI15,MBI16,GHQ1,GHQ2,GHQ3,GHQ4,GHQ5,GHQ6,GHQ7,GHQ8,GHQ9,GHQ10,GHQ11,GHQ12,Country,Age,Gender
3,2,2,2,2,1,2,1,2,5,5,5,5,5,5,7,5,4,2,1,5,3,1,3,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,39,1
3,3,2,2,2,1,2,2,1,4,4,5,4,4,3,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,33,1
2,3,2,2,2,2,2,2,2,6,6,6,6,6,6,6,3,5,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,41,0
3,2,3,3,2,2,2,3,2,4,4,6,5,6,7,6,6,4,3,2,4,3,3,4,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,34,1
2,1,1,1,3,2,2,1,2,5,5,6,6,5,7,7,7,7,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,31,0
5,5,3,1,5,5,3,1,5,5,6,4,4,4,4,4,4,4,4,5,7,4,4,4,4,4,5,5,1,3,1,3,4,1,2,2,2,2,3,3,2,2,3,3,3,3,2,51,0
3,3,3,2,2,2,2,1,3,5,6,7,7,7,7,7,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,39,0
2,1,1,1,2,2,2,1,1,6,6,7,7,7,6,6,6,6,2,2,3,3,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,27,1
3,2,2,2,3,1,2,1,4,7,6,7,6,5,6,7,5,3,2,2,5,2,1,1,2,3,3,2,2,1,1,1,1,1,2,2,1,1,3,1,2,1,1,1,1,2,2,28,0
3,3,2,2,2,1,2,2,2,5,5,4,5,5,4,5,4,4,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,63,1
